[0000005708ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000005720ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000240
[0000005748ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000240
[0000005786ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000241
[0000005808ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000240
[0000005822ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000241
[0000005836ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000025
[0000005852ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000005864ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000250
[0000005894ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000250
[0000005930ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000251
[0000005952ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000250
[0000005964ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000251
[0000005976ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000026
[0000005994ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000006006ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000260
[0000006056ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000260
[0000006104ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000261
[0000006130ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000260
[0000006152ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000261
[0000006166ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000027
[0000006178ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000006190ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000270
[0000006220ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000270
[0000006260ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000271
[0000006282ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000270
[0000006294ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000271
[0000006308ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000028
[0000006322ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000006338ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000280
[0000006370ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000280
[0000006410ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000281
[0000006440ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000280
[0000006454ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000281
[0000006470ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 00000029
[0000006486ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000006498ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 00000290
[0000006534ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 00000290
[0000006576ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 00000291
[0000006598ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 00000290
[0000006610ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 00000291
[0000006628ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000002a
[0000006642ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000006656ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000002a0
[0000006700ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000002a0
[0000006738ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000002a1
